W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W											2												F	W 
W																								W 
W			W									L	L	L	L	L								W 
W			W	W									L	L	L	L	L	L	L					W 
W			W	W										L	L	L	L	L						W 
W			W	W											L	L	L	L						W 
W			W	W																				W 
W			W	W																				W 
W			W												L	L	L	L	L					W 
W														L	L	L	L	L	L					W 
W											G		L	L	L	L	L	L	L					W 
W															L	L	L	L						W 
W			W	W	W	W	W	W	W							L	L							W 
W				W	W	W	W	W	W	W														W 
W																								W 
W							1																	W 
W																								W 
W	F																		H					W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
