W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W					H																		f	W 
W			l	l	l	l	l	l	l						l	l	l	l	l	l	l			W 
W			l																		l			W 
W			l																		l			W 
W			l																		l			W 
W			l																		l			W 
W			l																		l			W 
W			l				w										w				l			W 
W			l				w								2		w				l			W 
W							w										w							W 
W							w										w							W 
W							w										w							W 
W							w										w							W 
W							w	w	w	w	w	w	w	w	w	w	w							W 
W																								W 
W																								W 
W				1						l	l	l	l	l								G		W 
W	f																							W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
