W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W	f																						f	W 
W																								W 
W																								W 
W			H					l	l	l	l	l	l											W 
W							l	l	l	l	l	l	l	l										W 
W						l	l	l	l	l	l	l	l	l	l									W 
W						l	l	l	l	l	l	l	l	l	l									W 
W							l	l	l	l	l	l	l	l										W 
W									l	l	l	l									w			W 
W																					w			W 
W											G										w			W 
W																					w			W 
W	2																				w			W 
W				w	w	w	w	w	w	w											w			W 
W																								W 
W							1																	W 
W																								W 
W	f																						f	W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
