W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W																								W 
W									G															W 
W																								W 
W		1				w	l	w	l	w	l	w	l	w	l	w	l	w						W 
W						l												l						W 
W						w												w						W 
W						l			w	l	w	l	w	l	w			l						W 
W						w			l						l			w						W 
W						l			w			f			w			l						W 
W						w			l			f			l			w			H			W 
W						l			w						w			l						W 
W						w			l	w	l	w	l	w	l			w						W 
W						l												l						W 
W						w												w						W 
W						l	w	l	w	l	w	l	w	l	w	l	w	l						W 
W																								W 
W												2												W 
W																								W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
