W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W		H																					F	W 
W	1		W								W										W			W 
W																								W 
W			W								W										W			W 
W						W										W								W 
W			W								W										W			W 
W						W										W								W 
W											W													W 
W						W										W								W 
W																								W 
W											W													W 
W						W										W								W 
W			W								W										W			W 
W						W										W								W 
W			W								W										W			W 
W						W										W								W 
W	2		W								W										W			W 
W	F																					G		W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
