W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W	F																						F	W 
W																								W 
W																								W 
W			H					L	L	L	L	L	L											W 
W							L	L	L	L	L	L	L	L										W 
W						L	L	L	L	L	L	L	L	L	L									W 
W						L	L	L	L	L	L	L	L	L	L									W 
W							L	L	L	L	L	L	L	L										W 
W									L	L	L	L									W			W 
W																					W			W 
W											G										W			W 
W																					W			W 
W	2																				W			W 
W				W	W	W	W	W	W	W											W			W 
W																								W 
W							1																	W 
W																								W 
W	F																						F	W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
