W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W																								W 
W							1																	W 
W				W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W				W 
W				L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L				W 
W							L	L	L	L	L	L	L	L	L	L	L							W 
W	G			L	L					L	L	L	L	L					L	L				W 
W							L	L		L	L	L	L	L		L	L							W 
W				L	L														L	L				W 
W										L		F		L										W 
W										L		F		L										W 
W				L	L														L	L				W 
W							L	L		L	L	L	L	L		L	L							W 
W				L	L					L	L	L	L	L					L	L			H	W 
W							L	L	L	L	L	L	L	L	L	L	L							W 
W				L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L				W 
W				W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W				W 
W																								W 
W																							2	W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
