W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W	F																						F	W 
W					1																			W 
W																								W 
W																			H					W 
W																								W 
W																								W 
W																								W 
W																								W 
W																								W 
W																								W 
W											G													W 
W																								W 
W																								W 
W																								W 
W																								W 
W																								W 
W																2								W 
W	F																						F	W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W
